id,learning_rate,n_estimator,testscore_day1,testscore_day10,testscore_day11,testscore_day12,testscore_day13,testscore_day2,testscore_day3,testscore_day4,testscore_day5,testscore_day6,testscore_day7,testscore_day8,testscore_day9,train_score
0,0.004999999888241291,30,0.6258622407913208,0.6772289276123047,0.5459755063056946,0.6670748591423035,0.6785436272621155,0.6572293639183044,0.6419525146484375,0.6609397530555725,0.6698896884918213,0.6632355451583862,0.6645849943161011,0.665932834148407,0.6745719909667969,0.6745719909667969
1,0.004999999888241291,40,0.6675410270690918,0.7278934121131897,0.5830335021018982,0.7166373133659363,0.7236611247062683,0.7033128142356873,0.6883813142776489,0.7066928744316101,0.7205008268356323,0.7068781852722168,0.7116677761077881,0.7127799987792969,0.7256419062614441,0.7256419062614441
2,0.004999999888241291,50,0.7160771489143372,0.7818342447280884,0.6230431199073792,0.7684594988822937,0.7757158875465393,0.752600371837616,0.738239586353302,0.7600223422050476,0.7754164934158325,0.7559468746185303,0.7623621821403503,0.7649039030075073,0.7787219285964966,0.7787219285964966
3,0.004999999888241291,60,0.7167947292327881,0.7820816040039062,0.6236388683319092,0.7687605619430542,0.7758716344833374,0.7532269358634949,0.7390115261077881,0.7602119445800781,0.7757111191749573,0.7565802335739136,0.7628462314605713,0.7653882503509521,0.778931736946106,0.778931736946106
4,0.014999999664723873,30,0.7176578044891357,0.7818816900253296,0.6242278218269348,0.7683613896369934,0.7754551768302917,0.7540432214736938,0.7397868037223816,0.7600155472755432,0.7757686972618103,0.7569934725761414,0.7634081244468689,0.7658149600028992,0.7791584730148315,0.7791584730148315
5,0.014999999664723873,40,0.7314706444740295,0.7999071478843689,0.6391654014587402,0.7826438546180725,0.7928034067153931,0.7720417380332947,0.7548319697380066,0.7641829252243042,0.7940230965614319,0.7750229239463806,0.7813611626625061,0.7835046052932739,0.7977441549301147,0.7977441549301147
6,0.014999999664723873,50,0.7306346297264099,0.799558162689209,0.6381161212921143,0.7823596596717834,0.7926442623138428,0.771313488483429,0.7540397644042969,0.7641863226890564,0.7934507727622986,0.774657130241394,0.7806673049926758,0.782833993434906,0.7971417903900146,0.7971417903900146
7,0.014999999664723873,60,0.7406092286109924,0.8050742149353027,0.6461451053619385,0.7872445583343506,0.7972962260246277,0.782131552696228,0.7641556262969971,0.765601396560669,0.8008981347084045,0.7850216031074524,0.7908217310905457,0.7921072244644165,0.8036900758743286,0.8036900758743286
8,0.02500000037252903,30,0.7330817580223083,0.8007609844207764,0.6405836939811707,0.7835741639137268,0.7935652136802673,0.7738029360771179,0.7564401030540466,0.7638037800788879,0.7953304052352905,0.7765370011329651,0.7830569744110107,0.7851743102073669,0.7990064024925232,0.7990064024925232
9,0.02500000037252903,40,0.7431646585464478,0.8053758144378662,0.6491204500198364,0.7878602147102356,0.7977430820465088,0.7846379280090332,0.7665694952011108,0.7648397088050842,0.8022562265396118,0.7867253422737122,0.792940616607666,0.7940242290496826,0.8050031065940857,0.8050031065940857
10,0.02500000037252903,50,0.7473887205123901,0.8053758144378662,0.6580294966697693,0.790590226650238,0.7988061904907227,0.788041889667511,0.7702935338020325,0.7638477683067322,0.8029877543449402,0.7916027307510376,0.7953574061393738,0.7962527871131897,0.8091588020324707,0.8091588020324707
11,0.02500000037252903,60,0.7491690516471863,0.7913145422935486,0.645004391670227,0.7827149033546448,0.7808181047439575,0.78898686170578,0.7717797756195068,0.7591319680213928,0.7893223762512207,0.7922225594520569,0.7964540719985962,0.7974042892456055,0.8121638894081116,0.8121638894081116
12,0.03500000014901161,30,0.744809627532959,0.8048776984214783,0.6565062999725342,0.7886754870414734,0.7975907325744629,0.7859690189361572,0.7680354118347168,0.763874888420105,0.8026795983314514,0.7884527444839478,0.7936277389526367,0.7946135401725769,0.8059303760528564,0.8059303760528564
13,0.03500000014901161,40,0.748820424079895,0.8031429648399353,0.6595155000686646,0.7889494895935059,0.7949973344802856,0.7887870073318481,0.7712245583534241,0.7619791030883789,0.7988356351852417,0.792110800743103,0.7957635521888733,0.7965745329856873,0.809328019618988,0.809328019618988
14,0.03500000014901161,50,0.7543611526489258,0.7934457659721375,0.6464802026748657,0.7846431136131287,0.782155454158783,0.793664276599884,0.7767429351806641,0.7583940029144287,0.7916524410247803,0.7958908081054688,0.8011285066604614,0.8016310930252075,0.8167324662208557,0.8167324662208557
15,0.03500000014901161,60,0.7603452205657959,0.7964646816253662,0.649377703666687,0.7868419885635376,0.7840344905853271,0.8002587556838989,0.7826066613197327,0.7575646042823792,0.7953913807868958,0.8005006313323975,0.8069537878036499,0.8070196509361267,0.8205024003982544,0.8205024003982544
16,0.04500000178813934,30,0.7481164336204529,0.8024957776069641,0.658219039440155,0.7884319424629211,0.7945199608802795,0.7883433103561401,0.7706997990608215,0.7620434165000916,0.7979246377944946,0.7915146946907043,0.7954893708229065,0.7962866425514221,0.8088812828063965,0.8088812828063965
17,0.04500000178813934,40,0.7565408945083618,0.7941030859947205,0.6470894813537598,0.7848021388053894,0.7823518514633179,0.7962350249290466,0.7791094183921814,0.7579403519630432,0.7925905585289001,0.7970898151397705,0.803348958492279,0.8035582304000854,0.8177950978279114,0.8177950978279114
18,0.04500000178813934,50,0.76255202293396,0.7976675033569336,0.6441074013710022,0.7869570255279541,0.7842037677764893,0.8023824095726013,0.7846514582633972,0.7577067613601685,0.797061026096344,0.8017606139183044,0.8089067935943604,0.8090415596961975,0.82243812084198,0.82243812084198
19,0.04500000178813934,60,0.7674767374992371,0.7928630113601685,0.6373849511146545,0.7839733362197876,0.779101550579071,0.8075408339500427,0.7895265817642212,0.7528284788131714,0.7982395887374878,0.8044228553771973,0.8133646249771118,0.8136274218559265,0.8271386623382568,0.8271386623382568
